stock,STT,indicator,2017,2016,2015,2014,2013
SD2,3,Lợi nhuận trên cổ phiếu (EPS),-1.44,0.24,0.25,-0.01,-0.32
SD3,3,Lợi nhuận trên cổ phiếu (EPS),-0.83,1.47,-0.42,0.00,7.42
SD5,3,Lợi nhuận trên cổ phiếu (EPS),-0.07,-0.05,-0.23,0.34,0.30
SD9,3,Lợi nhuận trên cổ phiếu (EPS),0.08,-0.55,0.09,0.04,-0.13
SDI,3,Lợi nhuận trên cổ phiếu (EPS),1.11,0.38,-0.63,0.22,2.23
SDP,3,Lợi nhuận trên cổ phiếu (EPS),-1.00,1.18,-0.65,-0.08,22.93
SDU,3,Lợi nhuận trên cổ phiếu (EPS),-0.48,0.11,0.20,0.56,-0.56
SDY,3,Lợi nhuận trên cổ phiếu (EPS),0.00,-43.83,-52.90,-5.03,-1.02
SEC,3,Lợi nhuận trên cổ phiếu (EPS),0.06,-0.16,-0.29,-0.31,0.57
SGO,3,Lợi nhuận trên cổ phiếu (EPS),-0.99,-0.66,0.00,0.00,0.00
SHA,3,Lợi nhuận trên cổ phiếu (EPS),-0.09,0.48,1.73,0.80,0.50
SHA,3,Lợi nhuận trên cổ phiếu (EPS),-0.09,0.48,1.73,0.80,0.50
SHB,3,Lợi nhuận trên cổ phiếu (EPS),0.61,0.15,-0.02,0.08,-0.68
SHI,3,Lợi nhuận trên cổ phiếu (EPS),0.28,0.39,1.25,4.89,-0.65
SHN,3,Lợi nhuận trên cổ phiếu (EPS),-0.64,-0.63,0.00,-47.75,-1.08
SHS,3,Lợi nhuận trên cổ phiếu (EPS),1.41,-0.27,-0.03,9.53,-0.62
SIC,3,Lợi nhuận trên cổ phiếu (EPS),2.48,30.14,-0.14,-0.26,-0.81
SJD,3,Lợi nhuận trên cổ phiếu (EPS),0.79,-0.19,-0.03,0.18,0.04
SJS,3,Lợi nhuận trên cổ phiếu (EPS),-0.83,-0.20,0.42,1.21,-1.23
SKG,3,Lợi nhuận trên cổ phiếu (EPS),-0.05,0.22,0.69,2.87,-0.77
SMB,3,Lợi nhuận trên cổ phiếu (EPS),0.24,0.31,0.31,2.39,-0.50
SMC,3,Lợi nhuận trên cổ phiếu (EPS),0.20,0.00,-6.85,0.19,-0.70
SPI,3,Lợi nhuận trên cổ phiếu (EPS),0.00,0.00,-9.12,1.50,-0.69
SQC,3,Lợi nhuận trên cổ phiếu (EPS),0.00,0.00,0.00,0.00,-1.13
SRC,3,Lợi nhuận trên cổ phiếu (EPS),-0.32,-0.09,0.09,0.05,0.44
SSI,3,Lợi nhuận trên cổ phiếu (EPS),-0.13,0.03,0.14,0.78,-0.10
