Industry,Stock,+/-,EPS,PE,ROA,ROE,Giá SS,P/B,Beta,totalVolume,NN,von
vlxd,ACE,26.9(-2.6),"1,806",16.3,16%,30%,0,0%,0,"3,050,781","1,489,482(49%)",90
vlxd,QNC,3.5(0),"-1,978",-1.8,-3%,-29%,6.9,50%,0,"25,105,109","9,041,043(36%)",88
vlxd,NHC,29(0),"4,271",6.8,17%,20%,20.1,144%,-1.2,"3,041,542","1,490,355(49%)",88
vlxd,BBS,12.6(0),"1,141",11,2%,7%,17.3,73%,0.5,"6,000,000","2,058,000(34%)",76
vlxd,MCC,14(0.1),"1,784",7.8,10%,13%,13.7,101%,0.1,"4,986,124","2,457,900(49%)",70
vlxd,TXM,9(-0.9),"1,231",8,4%,7%,17,58%,-0.1,"7,000,000","3,430,000(49%)",69
vlxd,VTA,8(0),"1,794",4.5,7%,25%,7.2,112%,1.8,"8,000,000","3,914,640(49%)",64
vlxd,SDN,37(0),"4,721",7.8,10%,21%,22.2,167%,0.1,"1,518,218","743,926(49%)",56
vlxd,DC4,10(0),363,27.5,2%,6%,15.2,66%,-0.5,"14,055,756","2,700,909(19%)",55
vlxd,PTE,4.3(0),"-1,036",-4.2,-3%,121%,-0.9,-501%,0,"12,500,000","6,125,000(49%)",54
vlxd,SCJ,2.9(0.2),"-2,138",-1.3,-4%,-18%,11.6,23%,0.1,"19,516,000","9,562,840(49%)",53
vlxd,SCL,3.8(0.1),-847,-4.4,-4%,-7%,12.2,30%,0,"13,889,973","6,806,086(49%)",51
vlxd,TMX,8.2(0),"1,227",6.7,4%,8%,16.1,51%,-0.2,"6,000,000","2,940,000(49%)",49
vlxd,NAV,5.8(0),-549,-10.6,-3%,-6%,10,59%,0,"8,000,000","3,920,000(49%)",47
vlxd,KCE,30.8(0),"1,910",16.1,18%,25%,20.1,154%,0,"1,500,000","735,000(49%)",46
vlxd,VCX,1.8(0.2),"1,607",1,5%,36%,4.4,36%,0,"26,530,000","12,979,500(49%)",42
vlxd,DCT,1.5(0),"-4,452",-0.3,-15%,119%,-3.8,-40%,0.7,"27,223,647","13,201,905(48%)",41
vlxd,DXV,4.4(0.3),335,12.3,2%,3%,12.2,34%,0.4,"9,900,000","4,851,000(49%)",41
vlxd,VXB,10.4(0.9),"1,600",5.9,3%,11%,15.1,63%,0.9,"4,049,006","1,984,012(49%)",38
vlxd,TCR,3.3(-0.1),-690,-4.9,-2%,-5%,13.4,25%,-0.7,"45,425,142","4,983,263(11%)",35
